Ukupna dnevna zarada: 1070
Ukupni dnevni troskovi: 960
Broj uspjesnih popravaka: 18
Broj neuspjesnih popravaka: 32

Ukupna dnevna zarada: 1900
Ukupni dnevni troskovi: 1920
Broj uspjesnih popravaka: 33
Broj neuspjesnih popravaka: 17

Ukupna dnevna zarada: 2920
Ukupni dnevni troskovi: 2880
Broj uspjesnih popravaka: 50
Broj neuspjesnih popravaka: 0

Ukupna dnevna zarada: 2090
Ukupni dnevni troskovi: 3840
Broj uspjesnih popravaka: 50
Broj neuspjesnih popravaka: 0

Ukupna dnevna zarada: 1060
Ukupni dnevni troskovi: 4800
Broj uspjesnih popravaka: 50
Broj neuspjesnih popravaka: 0
